country,year,life_expectancy,maternal_mortality_ratio,uhc_index,doctors_per_10000,pharmacists_per_10000,basic_water_access_pct,ncd_mortality_30_70
Egypt,2000,69.82,64.0,,,,96.69,25.3
El Salvador,2019,75.03,,,,,,
El Salvador,2015,73.25,48.0,75.0,,,89.25,14.1
El Salvador,2010,74.5,54.0,,,,76.36,14.7
El Salvador,2000,72.5,73.0,,,,55.52,17.1
Equatorial Guinea,2019,62.19,,,,,,
Equatorial Guinea,2015,61.13,296.0,40.0,,,30.78,22.0
Equatorial Guinea,2010,59.65,308.0,,,,32.6,23.0
Equatorial Guinea,2000,54.31,454.0,,,,38.69,26.4
Eritrea,2019,64.08,,,,,,
Eritrea,2015,62.29,518.0,38.0,,,27.8,24.2
Eritrea,2010,60.7,567.0,,,,28.33,24.8
Eritrea,2000,54.51,1280.0,,,,30.99,25.7
Estonia,2019,78.88,,,,,,
Estonia,2015,77.6,10.0,75.0,34.15,72.1,99.19,16.9
Estonia,2010,75.87,11.0,,32.42,63.2,98.65,19.6
Estonia,2000,70.94,29.0,,31.24,58.3,97.29,26.9
Eswatini,2019,57.73,,,,,,
Eswatini,2015,54.05,435.0,60.0,,,59.37,26.6
Eswatini,2010,47.43,450.0,,,,54.0,26.6
Eswatini,2000,47.05,521.0,,,4.6000000000000005,42.52,27.2
Ethiopia,2019,68.7,,,,,,
Ethiopia,2015,66.82,446.0,39.0,,,29.11,18.4
Ethiopia,2010,62.92,597.0,,,,23.42,18.9
Ethiopia,2000,50.58,1030.0,,,,18.7,21.7
Fiji,2019,68.01,,,,,,
Fiji,2015,67.83,35.0,64.0,8.6,10.9,88.84,30.8
Fiji,2010,67.6,39.0,,,,89.54,32.9
Fiji,2000,65.9,51.0,,,,90.65,36.4
Finland,2019,81.61,,,,,,
Finland,2015,81.21,3.0,79.0,33.31,,100.0,10.5
Finland,2010,79.88,4.0,,32.65,110.8,100.0,11.8
Finland,2000,77.6,6.0,,28.54,96.5,100.0,14.6
France,2019,82.48,,,,,,
France,2015,81.91,8.0,78.0,32.24,109.0,100.0,10.8
France,2010,81.22,9.0,,33.74,116.6,100.0,11.8
France,2000,78.91,10.0,,33.55,103.9,100.0,13.8
Gabon,2019,66.47,,,,,,
Gabon,2015,64.93,261.0,51.0,,,55.05,14.8
Gabon,2010,62.16,314.0,,,,49.35,15.1
Gabon,2000,58.1,380.0,,,,37.02,17.1
Gambia,2019,65.47,,,,,,
Gambia,2015,64.14,625.0,45.0,1.02,0.24,63.37,20.6
Gambia,2010,62.42,661.0,,,,64.88,21.1
Gambia,2000,59.24,932.0,,,,67.84,23.1
Georgia,2019,73.28,,,,,,
Georgia,2015,72.58,27.0,66.0,50.06,7.800000000000001,95.26,24.9
Georgia,2010,71.87,32.0,,44.47,8.6,91.36,25.0
Georgia,2000,69.41,31.0,,38.37,9.8,86.97,24.7
Germany,2019,81.72,,,,,,
Germany,2015,80.42,5.0,82.0,41.34,64.3,100.0,12.5
Germany,2010,80.17,6.0,,37.57,62.599999999999994,100.0,13.1
Germany,2000,78.09,7.0,,32.79,58.9,100.0,16.1
Ghana,2019,66.28,,,,,,
Ghana,2015,64.55,320.0,46.0,,,66.04,20.9
Ghana,2010,62.0,339.0,,0.94,,62.19,20.4
Ghana,2000,59.24,484.0,,,,54.03,21.6
Greece,2019,81.1,,,,,,
Greece,2015,80.38,3.0,74.0,52.53,106.0,100.0,12.3
Greece,2010,80.1,3.0,,39.44,102.5,99.74,12.9
Greece,2000,78.17,3.0,,42.64,,98.69,14.9
Grenada,2019,72.88,,,,,,
Grenada,2015,72.7,25.0,69.0,,,95.63,21.7
Grenada,2010,71.97,29.0,,,,95.63,23.9
Grenada,2000,71.97,38.0,,5.64,,93.31,26.8
Guatemala,2019,72.02,,,,,,
Guatemala,2015,70.95,103.0,57.0,,,88.97,14.9
Guatemala,2010,69.3,129.0,,,,85.47,14.9
Guatemala,2000,66.78,161.0,,,,78.4,15.0
Guinea,2019,61.01,,,,,,
Guinea,2015,58.81,699.0,34.0,0.86,1.2,49.72,22.6
Guinea,2010,58.07,747.0,,,,51.67,23.1
Guinea,2000,54.26,1020.0,,0.93,1.7000000000000002,53.1,22.4
Guinea-Bissau,2019,60.22,,,,,,
Guinea-Bissau,2015,58.23,694.0,40.0,2.04,,52.76,19.8
Guinea-Bissau,2010,55.43,779.0,,,,49.07,21.5
Guinea-Bissau,2000,50.28,1210.0,,,,41.41,23.4
Guyana,2019,65.69,,,,,,
Guyana,2015,65.59,172.0,70.0,,,100.0,30.6
Guyana,2010,64.77,179.0,,6.87,,90.9,31.2
Guyana,2000,62.96,231.0,,4.9,,85.88,32.7
Haiti,2019,64.05,,,,,,
Haiti,2015,62.61,488.0,47.0,0.85,,42.42,26.7
Haiti,2010,31.28,506.0,,,,41.83,22.3
Haiti,2000,57.05,437.0,,,,40.48,29.1
Honduras,2019,71.94,,,,,,
Honduras,2015,69.82,67.0,66.0,,,87.31,14.0
Honduras,2010,71.15,74.0,,2.95,,83.55,14.3
Honduras,2000,70.04,85.0,,5.59,5.300000000000001,75.99,16.6
Hungary,2019,76.44,,,,,,
Hungary,2015,75.57,12.0,73.0,31.18,72.0,100.0,23.3
Hungary,2010,74.58,13.0,,28.9,58.6,100.0,24.2
Hungary,2000,71.34,16.0,,30.03,48.0,100.0,28.1
Iceland,2019,82.33,,,,,,
Iceland,2015,82.14,4.0,85.0,37.83,48.5,100.0,9.3
Iceland,2010,81.68,5.0,,35.65,48.4,100.0,9.8
Iceland,2000,79.7,6.0,,34.52,,100.0,13.4
India,2019,70.79,,,,,,
India,2015,69.31,158.0,52.0,,,88.9,23.5
India,2010,67.23,210.0,,6.62,53.2,83.77,24.2
India,2000,62.11,370.0,,5.26,,74.28,26.6
Indonesia,2019,71.31,,,,,,
Indonesia,2015,70.61,192.0,53.0,2.74,11.7,80.16,26.5
Indonesia,2010,69.26,228.0,,1.4,,75.54,27.0
Indonesia,2000,67.17,272.0,,,,65.61,26.3
Iran (Islamic Republic of),2019,77.35,,,,,,
Iran (Islamic Republic of),2015,76.66,17.0,70.0,11.53,20.2,89.01,15.1
Iran (Islamic Republic of),2010,75.86,22.0,,,,89.23,18.0
Iran (Islamic Republic of),2000,72.56,48.0,,,,89.66,23.9
Iraq,2019,72.42,,,,,,
Iraq,2015,70.29,83.0,61.0,,,86.56,21.6
Iraq,2010,70.24,70.0,,6.64,19.099999999999998,75.3,22.5
Iraq,2000,68.77,79.0,,,,52.88,24.2
Ireland,2019,81.84,,,,,,
Ireland,2015,81.14,6.0,79.0,31.5,111.6,96.99,10.5
Ireland,2010,80.41,6.0,,41.33,100.3,97.0,11.2
Ireland,2000,76.41,7.0,,22.3,80.5,97.02,17.9
Israel,2019,82.62,,,,,,
Israel,2015,81.93,3.0,81.0,34.62,78.1,100.0,9.7
Israel,2010,81.56,4.0,,35.19,78.0,100.0,10.1
Israel,2000,78.57,7.0,,38.22,67.30000000000001,100.0,14.6
Italy,2019,82.97,,,,,,
Italy,2015,82.21,2.0,81.0,38.48,115.5,99.38,9.8
Italy,2010,81.9,2.0,,38.16,,99.59,10.3
Italy,2000,79.36,4.0,,34.59,,100.0,13.5
Jamaica,2019,75.98,,,,,,
Jamaica,2015,75.85,78.0,62.0,4.15,2.8000000000000003,84.4,14.8
Jamaica,2010,75.77,79.0,,,,85.48,15.3
Jamaica,2000,74.22,77.0,,,,88.19,18.1
Japan,2019,84.26,,,,,,
Japan,2015,83.62,5.0,80.0,,,98.93,8.6
Japan,2010,82.68,6.0,,22.06,153.7,98.73,9.5
Japan,2000,81.12,9.0,,20.06,,98.49,11.4
Jordan,2019,77.87,,,,,,
Jordan,2015,77.82,48.0,76.0,28.08,130.29999999999998,97.78,19.4
Jordan,2010,76.59,53.0,,22.33,126.0,97.97,20.7
Jordan,2000,72.65,70.0,,18.69,84.5,98.36,23.5
Kazakhstan,2019,73.95,,,,,,
Kazakhstan,2015,71.91,12.0,74.0,,81.4,89.76,28.6
Kazakhstan,2010,68.43,22.0,,39.28,69.3,83.53,32.9
Kazakhstan,2000,63.15,61.0,,32.8,30.5,72.36,39.1
Kenya,2019,66.09,,,,,,
Kenya,2015,64.17,353.0,54.0,,,48.18,13.3
Kenya,2010,61.18,432.0,,1.7,7.4,44.57,13.4
Kenya,2000,53.87,708.0,,,,37.21,17.3
Kiribati,2019,59.42,,,,,,
Kiribati,2015,58.2,97.0,39.0,,,69.08,28.5
Kiribati,2010,58.01,112.0,,3.98,3.9000000000000004,62.73,28.8
Kiribati,2000,55.73,136.0,,,,50.03,29.5
Kuwait,2019,80.97,,,,,,
Kuwait,2015,81.13,11.0,75.0,26.46,,100.0,17.6
Kuwait,2010,79.83,10.0,,24.3,,100.0,19.3
Kuwait,2000,77.86,10.0,,,,100.0,21.7
Kyrgyzstan,2019,74.18,,,,,,
Kyrgyzstan,2015,71.59,66.0,68.0,,,81.39,26.2
Kyrgyzstan,2010,69.17,79.0,,23.39,3.1,78.45,27.8
Kyrgyzstan,2000,65.95,79.0,,28.04,2.9,72.91,31.4
Lao People's Democratic Republic,2019,68.51,,,,,,
Lao People's Democratic Republic,2015,67.08,209.0,49.0,,,71.11,27.1
Lao People's Democratic Republic,2010,64.88,292.0,,7.81,,59.99,27.9
Lao People's Democratic Republic,2000,58.41,544.0,,2.85,,37.99,29.2
Latvia,2019,75.38,,,,,,
Latvia,2015,74.8,23.0,67.0,31.66,78.8,97.88,22.2
Latvia,2010,72.94,26.0,,30.76,67.6,97.13,25.8
Latvia,2000,70.18,34.0,,34.12,,95.79,27.9
Lebanon,2019,76.44,,,,,,
Lebanon,2015,75.98,29.0,71.0,21.03,116.19999999999999,92.26,17.9
Lebanon,2010,75.53,23.0,,23.39,111.19999999999999,89.97,18.1
Lebanon,2000,74.61,28.0,,,,85.39,21.2
Lesotho,2019,50.75,,,,,,
Lesotho,2015,47.67,574.0,47.0,,,59.79,26.6
Lesotho,2010,47.38,594.0,,0.69,,61.31,27.0
Lesotho,2000,47.82,614.0,,,,64.39,26.6
Liberia,2019,64.08,,,,,,
Liberia,2015,61.17,691.0,37.0,0.38,,60.81,17.2
Liberia,2010,60.7,708.0,,0.23,1.2,57.74,18.0
Liberia,2000,53.77,894.0,,,,49.53,18.1
Libya,2019,75.78,,,,,,
Libya,2015,74.6,70.0,62.0,18.94,48.6,97.64,19.7
